"name","year_published","difficulty","rating_avg","rating_sd","game_category","rating_group"
"Shifti",1977,1,4.70384,1.66036,"Abstract","Terrible"
"Archimedes",1981,2.1667,4.84783,1.2816,"Abstract","Terrible"
"Checkers",1150,1.7602,4.89366,1.52658,"Abstract","Terrible"
"Top Hats",1997,1.1667,4.59091,1.40051,"Abstract","Terrible"
"Eye",1987,2.3333,4.19667,1.72964,"Abstract","Terrible"
"UNO Dice",1987,1.1333,4.86962,1.63796,"Abstract","Terrible"
"Hack Attack",2000,1.5,4.12289,1.74482,"Abstract","Terrible"
"British Square",1978,1.25,4.62195,1.72068,"Abstract","Terrible"
"Doctor Who: Battle for the Universe",1989,1,4.55233,1.79434,"Abstract","Terrible"
"UNO Dominos",1986,1.5,4.81204,1.65638,"Abstract","Terrible"
"Triazzle",1998,1.5,4.9,1.11915,"Abstract","Terrible"
"Tri-Trac",1980,1,4.92683,1.53142,"Abstract","Terrible"
"UNO Wild Tiles",1982,1.0909,4.98073,1.55584,"Abstract","Terrible"
"Berzerk",1983,1.3333,4.94872,1.43578,"Abstract","Terrible"
"Parity",2002,1.2,3.8,1.78232,"Abstract","Terrible"
"WFF 'N PROOF",1962,3.8889,4.88889,1.82888,"Abstract","Terrible"
"Landyland",1998,3.5,4.7303,1.73301,"Abstract","Terrible"
"L-Game",1968,2.0833,4.97405,1.74883,"Abstract","Terrible"
"Track",1975,1.25,4.45537,1.53587,"Abstract","Terrible"
"Corda",1982,3,4.89189,1.50735,"Abstract","Terrible"
"Ten Commandments Bible Game",1960,1.2,4.71346,1.86795,"Abstract","Terrible"
"Fox and Geese",1400,1.55,4.75114,1.46636,"Abstract","Terrible"
"Jumpin' Java",2003,1.0833,4.8439,1.63767,"Abstract","Terrible"
"Nim",0,1.5714,4.0275,1.75722,"Abstract","Terrible"
"Capt'n W. Kidd",2004,2.1429,4.55542,1.58141,"Abstract","Terrible"
"Warmaster Chess 2000",1998,2.5,2.9325,2.50771,"Abstract","Terrible"
"Block It!",2004,1.3333,4.61549,1.94738,"Abstract","Terrible"
"Harry Potter and the Sorcerer's Stone The Game",2000,2.5,3.65864,2.08256,"Abstract","Terrible"
"Solitaire",1687,1.5149,4.40165,1.72049,"Abstract","Terrible"
"3D Tic Tac Toe",1953,1.2222,4.22225,1.83977,"Abstract","Terrible"
"Boxes",1889,1.6216,4.71128,1.60299,"Abstract","Terrible"
"Bernini Mysterie",2005,1.6923,4.99734,1.55155,"Abstract","Terrible"
"Isolate",2003,1.75,4.55109,1.5146,"Abstract","Terrible"
