Year,word,word_type,relative_usage
1850,idiot,group 1,62.98372401
1850,nimrod,group 1,33.65210376
1851,idiot,group 1,63.59929591
1851,nimrod,group 1,33.31324448
1852,idiot,group 1,63.57038132
1852,nimrod,group 1,33.42367794
1853,idiot,group 1,64.05631016
1853,nimrod,group 1,33.10470499
1854,idiot,group 1,65.29182219
1854,nimrod,group 1,31.71511711
1855,idiot,group 1,65.8725031
1855,nimrod,group 1,31.24022869
1856,idiot,group 1,65.94193048
1856,nimrod,group 1,31.31887627
1857,idiot,group 1,66.23127475
1857,nimrod,group 1,31.89654771
1858,idiot,group 1,67.36651626
1858,nimrod,group 1,30.77466346
1859,idiot,group 1,67.96578678
1859,nimrod,group 1,30.27764563
1860,idiot,group 1,68.5834791
1860,nimrod,group 1,29.52603434
1861,idiot,group 1,69.78253465
1861,nimrod,group 1,27.98805707
1862,idiot,group 1,70.88486461
1862,nimrod,group 1,26.72487168
1863,idiot,group 1,72.46372566
1863,nimrod,group 1,24.9819738
1864,idiot,group 1,73.9687805
1864,nimrod,group 1,23.4081169
1865,idiot,group 1,74.41420087
1865,nimrod,group 1,22.8692326
1866,idiot,group 1,75.56062442
1866,nimrod,group 1,21.53643046
1867,idiot,group 1,75.80334932
1867,nimrod,group 1,21.25633945
1868,idiot,group 1,73.30235752
1868,nimrod,group 1,24.2380787
1869,idiot,group 1,72.80888631
1869,nimrod,group 1,24.7692977
1870,idiot,group 1,72.6988628
1870,nimrod,group 1,24.8784174
1871,idiot,group 1,72.44923722
1871,nimrod,group 1,25.12605058
1872,idiot,group 1,71.55376991
1872,nimrod,group 1,26.08923631
1873,idiot,group 1,70.77854447
1873,nimrod,group 1,26.70886204
1874,idiot,group 1,71.48191408
1874,nimrod,group 1,26.07109115
1875,idiot,group 1,73.83123106
1875,nimrod,group 1,23.60988297
1876,idiot,group 1,73.64439631
1876,nimrod,group 1,23.52927911
1877,idiot,group 1,73.42077577
1877,nimrod,group 1,23.93774979
1878,idiot,group 1,72.62872581
1878,nimrod,group 1,24.59022368
1879,idiot,group 1,73.0391675
1879,nimrod,group 1,24.04129049
1880,idiot,group 1,73.88633745
1880,nimrod,group 1,23.38741158
1881,idiot,group 1,74.06668764
1881,nimrod,group 1,23.17201827
1882,idiot,group 1,73.25312648
1882,nimrod,group 1,23.95928269
1883,idiot,group 1,73.9731469
1883,nimrod,group 1,23.46718447
1884,idiot,group 1,74.83024363
1884,nimrod,group 1,22.52562054
1885,idiot,group 1,76.07091038
1885,nimrod,group 1,21.2300066
1886,idiot,group 1,76.63869788
1886,nimrod,group 1,20.75494044
1887,idiot,group 1,76.96721361
1887,nimrod,group 1,20.35113758
1888,idiot,group 1,76.09552169
1888,nimrod,group 1,21.09119977
1889,idiot,group 1,76.94004547
1889,nimrod,group 1,20.09672207
1890,idiot,group 1,77.04877209
1890,nimrod,group 1,19.97209599
1891,idiot,group 1,76.73954705
1891,nimrod,group 1,20.19839067
1892,idiot,group 1,77.45733325
1892,nimrod,group 1,19.37164274
1893,idiot,group 1,77.83803919
1893,nimrod,group 1,18.89984909
1894,idiot,group 1,78.0254037
1894,nimrod,group 1,18.6424964
1895,idiot,group 1,78.13463056
1895,nimrod,group 1,18.27963063
1896,idiot,group 1,78.48203406
1896,nimrod,group 1,17.96822362
1897,idiot,group 1,78.43070067
1897,nimrod,group 1,17.79498673
1898,idiot,group 1,77.9288655
1898,nimrod,group 1,17.80256417
1899,idiot,group 1,77.12914073
1899,nimrod,group 1,18.06097699
1900,idiot,group 1,76.15717178
1900,nimrod,group 1,18.60016102
1901,idiot,group 1,75.83933916
1901,nimrod,group 1,18.68354971
1902,idiot,group 1,75.77730743
1902,nimrod,group 1,18.32948697
1903,idiot,group 1,75.22157867
1903,nimrod,group 1,17.98461645
1904,idiot,group 1,74.05450495
1904,nimrod,group 1,18.46028972
1905,idiot,group 1,74.62364042
1905,nimrod,group 1,17.63465681
1906,idiot,group 1,72.45818498
1906,nimrod,group 1,19.86189951
1907,idiot,group 1,71.74517913
1907,nimrod,group 1,20.28592303
1908,idiot,group 1,70.87123924
1908,nimrod,group 1,20.45235696
1909,idiot,group 1,70.52156825
1909,nimrod,group 1,20.39440783
1910,idiot,group 1,69.90248964
1910,moron,group 1,9.944885471
1910,nimrod,group 1,20.15262489
1911,idiot,group 1,69.80126781
1911,moron,group 1,11.09384607
1911,nimrod,group 1,19.10488612
1912,idiot,group 1,67.85179994
1912,moron,group 1,13.31451924
1912,nimrod,group 1,18.83368082
1912,geek,group 2,22.65834439
1913,idiot,group 1,68.11793771
1913,moron,group 1,15.90576138
1913,nimrod,group 1,15.97630091
1913,geek,group 2,23.45754617
1914,idiot,group 1,67.37079207
1914,moron,group 1,18.59346491
1914,nimrod,group 1,14.03574302
1914,geek,group 2,24.50423417
1915,idiot,group 1,65.84344828
1915,moron,group 1,21.15441157
1915,nimrod,group 1,13.00214014
1915,geek,group 2,25.42602952
1916,idiot,group 1,64.48835879
1916,moron,group 1,23.67645391
1916,nimrod,group 1,11.8351873
1916,geek,group 2,25.48393519
1917,idiot,group 1,62.936241
1917,moron,group 1,25.77294236
1917,nimrod,group 1,11.29081664
1917,geek,group 2,25.48313278
1918,idiot,group 1,61.42816829
1918,moron,group 1,27.25325085
1918,nimrod,group 1,11.31858086
1918,geek,group 2,26.22282069
1919,idiot,group 1,60.64818147
1919,moron,group 1,28.09566147
1919,nimrod,group 1,11.25615706
1919,geek,group 2,27.91682375
1920,idiot,group 1,60.96388399
1920,moron,group 1,27.89486763
1920,nimrod,group 1,11.14124838
1920,geek,group 2,30.30659943
1921,idiot,group 1,61.43548821
1921,moron,group 1,27.05723662
1921,nimrod,group 1,11.50727517
1921,geek,group 2,35.19736238
1922,idiot,group 1,61.99628433
1922,moron,group 1,25.74212699
1922,nimrod,group 1,12.26158868
1922,geek,group 2,36.52043657
1923,idiot,group 1,61.81184485
1923,moron,group 1,24.89575344
1923,nimrod,group 1,13.29240171
1923,geek,group 2,38.41989449
1924,idiot,group 1,61.76725379
1924,moron,group 1,23.65374919
1924,nimrod,group 1,14.57899702
1924,geek,group 2,41.57588566
1925,idiot,group 1,62.42418162
1925,moron,group 1,22.85823337
1925,nimrod,group 1,14.71758501
1925,geek,group 2,43.47102081
1926,idiot,group 1,62.71357431
1926,moron,group 1,22.07977175
1926,nimrod,group 1,15.20665394
1926,geek,group 2,46.11784226
1927,idiot,group 1,62.67062704
1927,moron,group 1,22.08003923
1927,nimrod,group 1,15.24933374
1927,geek,group 2,44.42556247
1928,idiot,group 1,62.55597156
1928,moron,group 1,22.1183414
1928,nimrod,group 1,15.32568704
1928,geek,group 2,40.18127332
1929,idiot,group 1,62.45682169
1929,moron,group 1,22.50277398
1929,nimrod,group 1,15.04040433
1929,geek,group 2,40.80163835
1930,idiot,group 1,62.80575581
1930,moron,group 1,22.05307802
1930,nimrod,group 1,15.14116617
1930,geek,group 2,42.73742696
1931,idiot,group 1,64.01487596
1931,moron,group 1,21.7730566
1931,nimrod,group 1,14.21206745
1931,geek,group 2,43.98197339
1932,idiot,group 1,64.83031678
1932,moron,group 1,21.39935589
1932,nimrod,group 1,13.77032733
1932,geek,group 2,45.57247612
1933,idiot,group 1,65.10545848
1933,moron,group 1,20.57880864
1933,nimrod,group 1,14.31573288
1933,geek,group 2,47.33860953
1934,idiot,group 1,65.31232865
1934,moron,group 1,19.77478592
1934,nimrod,group 1,14.91288544
1934,geek,group 2,48.71991007
1935,idiot,group 1,65.37123384
1935,moron,group 1,19.21652642
1935,nimrod,group 1,15.41223973
1935,geek,group 2,48.51662254
1936,idiot,group 1,65.35416213
1936,moron,group 1,19.1778308
1936,nimrod,group 1,15.46800707
1936,geek,group 2,48.01637896
1937,idiot,group 1,65.95729673
1937,moron,group 1,19.26562229
1937,nimrod,group 1,14.77708098
1937,geek,group 2,44.24863419
1938,idiot,group 1,65.42927173
1938,moron,group 1,19.71860982
1938,nimrod,group 1,14.85211845
1938,geek,group 2,38.20063091
1939,idiot,group 1,64.99072826
1939,moron,group 1,20.08536857
1939,nimrod,group 1,14.92390318
1939,geek,group 2,36.05376669
1940,idiot,group 1,64.69024275
1940,moron,group 1,21.17935033
1940,nimrod,group 1,14.13040691
1940,geek,group 2,33.16638864
1941,idiot,group 1,64.12595835
1941,moron,group 1,22.51407453
1941,nimrod,group 1,13.35996712
1941,geek,group 2,31.92386248
1942,idiot,group 1,63.92696171
1942,moron,group 1,23.4651761
1942,nimrod,group 1,12.60786219
1942,geek,group 2,31.44196651
1943,idiot,group 1,64.27501077
1943,moron,group 1,23.20528756
1943,nimrod,group 1,12.51970166
1943,geek,group 2,32.88968282
1944,idiot,group 1,63.87748008
1944,moron,group 1,23.46662388
1944,nimrod,group 1,12.65589604
1944,geek,group 2,34.33677006
1945,idiot,group 1,63.88995991
1945,moron,group 1,23.17303937
1945,nimrod,group 1,12.93700073
1945,geek,group 2,38.19083865
1946,idiot,group 1,63.88140774
1946,moron,group 1,23.15155048
1946,nimrod,group 1,12.96704178
1946,geek,group 2,39.11217452
1947,idiot,group 1,64.23613375
1947,moron,group 1,22.37744658
1947,nimrod,group 1,13.38641967
1947,geek,group 2,40.08706132
1948,idiot,group 1,64.52719358
1948,moron,group 1,21.6557036
1948,nimrod,group 1,13.81710282
1948,geek,group 2,41.12635438
1949,idiot,group 1,65.12957671
1949,moron,group 1,20.84066838
1949,nimrod,group 1,14.02975491
1949,geek,group 2,42.56847794
1950,idiot,group 1,65.10506351
1950,moron,group 1,20.81268544
1950,nimrod,group 1,14.08225105
1950,nerd,group 2,19.32773362
1950,geek,group 2,43.29462002
1951,idiot,group 1,64.86170353
1951,moron,group 1,21.10532559
1951,nimrod,group 1,14.03297088
1951,nerd,group 2,19.53633793
1951,geek,group 2,42.26405324
1952,idiot,group 1,65.3238044
1952,moron,group 1,20.9273864
1952,nimrod,group 1,13.7488092
1952,nerd,group 2,19.26053828
1952,geek,group 2,41.30718737
1953,idiot,group 1,65.43766579
1953,moron,group 1,20.62378291
1953,nimrod,group 1,13.93855129
1953,nerd,group 2,19.09816123
1953,geek,group 2,39.47648186
1954,idiot,group 1,65.89301794
1954,moron,group 1,20.41535679
1954,nimrod,group 1,13.69162527
1954,nerd,group 2,20.00039899
1954,geek,group 2,36.57434486
1955,idiot,group 1,66.58021199
1955,moron,group 1,19.93725283
1955,nimrod,group 1,13.48253517
1955,nerd,group 2,19.90113178
1955,geek,group 2,35.42090335
1956,idiot,group 1,66.44372649
1956,moron,group 1,19.88749544
1956,nimrod,group 1,13.66877807
1956,nerd,group 2,20.51569169
1956,geek,group 2,32.70908132
1957,idiot,group 1,67.36396194
1957,moron,group 1,18.96430439
1957,nimrod,group 1,13.67173368
1957,nerd,group 2,20.43338013
1957,geek,group 2,32.14477603
1958,idiot,group 1,68.45784318
1958,moron,group 1,17.47604149
1958,nimrod,group 1,14.06611533
1958,nerd,group 2,19.78300204
1958,geek,group 2,33.02783635
1959,idiot,group 1,68.55434435
1959,moron,group 1,16.90266231
1959,nimrod,group 1,14.54299334
1959,nerd,group 2,20.14554888
1959,geek,group 2,32.15487215
1960,idiot,group 1,69.13936351
1960,moron,group 1,16.15605059
